nome,classe,bolsa_fonte,tipo_de_ativo,ativo_cancelado,codigo,fechamento_31dez16,fechamento_31dez17,fechamento_31dez18,fechamento_31dez19,fechamento_31dez20,fechamento_31dez21,fechamento_31dez22,valor_mercado_da_empresa_31dez17,valor_mercado_da_empresa_31dez18,valor_mercado_da_empresa_31dez19,valor_mercado_da_empresa_31dez20,valor_mercado_da_empresa_31dez21,valor_mercado_da_empresa_31dez22,patrim_liq_dez_2017,patrim_liq_dez_2018,patrim_liq_dez_2019,patrim_liq_dez_2020,patrim_liq_dez_2021,patrim_liq_dez_2022
Teka,PN,Bovespa,Ação,ativo,TEKA4,7.5,7.05,8,6.68,14.03,9.89,22.51,3546.15,4024,3581.8,10744.69,4974.67,11322.53,-1478057,-1435218,-1564027,-1678232,-1757788,-1917957
Tekno,ON,Bovespa,Ação,ativo,TKNO3,NA,NA,NA,NA,NA,NA,NA,103180,103180,103474.8,132493.17418,194417.98277,191620,172999,173375,181876,190417,237598,264735
Tekno,PN,Bovespa,Ação,ativo,TKNO4,23.378396987,27.265707916,27.265707916,27.343609939,36.560479789,56.690086879,61.497864308,103180,103180,103474.8,132493.17418,194417.98277,191620,172999,173375,181876,190417,237598,264735
Telebras,ON,Bovespa,Ação,ativo,TELB3,23.9501804,37.174767514,NA,100.39162494,87.569328297,44.03315827,16.09,417910.70571,1121079.7122,4266903.0948,4925591.8939,2457857.1749,1280560.3162,589821,370434,1646733,1553239,1430758,1663398
Telebras,PN,Bovespa,Ação,ativo,TELB4,21.100931931,21.757658058,22.36121292,28.762852194,30.553728096,14.3467959,10.15,417910.70571,1121079.7122,4266903.0948,4925591.8939,2457857.1749,1280560.3162,589821,370434,1646733,1553239,1430758,1663398
Telef Brasil,ON,Bovespa,Ação,ativo,VIVT3,22.613430334,27.472670922,30.208075362,38.169022337,39.551773475,44.234898381,36.637912084,77879695.6,75255714.86,91470453.171,78500091,80811642.22,62082400.634,69461358,71607027,70455578,69556764,69927196,68403740
Tenda,ON,Bovespa,Ação,ativo,TEND3,NA,9.356887963,15.271309041,29.508303503,29.982811007,16.71,4.22,1080700,1552931.37,2938543.65,2969246.88,1608471.18,426895.2,1158692,1197673,1350621,1517630,1203413,712274
Terrasantapa,ON,Bovespa,Ação,ativo,LAND3,2.6213787546,3.9032329655,3.2085675956,5.76703326,6.8182061406,21.301536291,27.451973979,266739.46,219267.36,476080,566471.79,2163182.96,2765951.25,991920,940005,943019,784726,696064,785934
Tex Renaux,ON,Bovespa,Ação,ativo,TXRX3,NA,NA,NA,3.48,64.99,34,NA,9838.29,7495.84,15129.65,122038.78,72348.45,13799.16,-303497,-312806,-291372,-309729,-331987,-330842
Tex Renaux,PN,Bovespa,Ação,ativo,TXRX4,2.24,2.31,1.76,3.59,9.78,8.15,3.24,9838.29,7495.84,15129.65,122038.78,72348.45,13799.16,-303497,-312806,-291372,-309729,-331987,-330842
Tim,ON,Bovespa,Ação,ativo,TIMS3,6.3116368102,10.695851783,9.8416522448,13.535311088,13.160604464,12.226232468,12.080562961,31694541.358,28679940.72,37934279.988,35458962.067,31828340.754,30014879.52,18151184,19794837,22431818,23182745,25107106,25397365
Time For Fun,ON,Bovespa,Ação,ativo,SHOW3,5.2917575387,7.0494598254,7.3069559934,6.25,3.97,3.73,2.39,495882.45,496570.68,420537.5,267629.61,251450.49,161117.07,323523,329169,277467,192409,134933,111519
Totvs,ON,Bovespa,Ação,ativo,TOTS3,7.5549514841,9.5030324961,8.6999421473,20.888564718,28.117506769,28.319265603,27.41,4884198.1664,4424635.7865,12308755.996,16306055.568,17415362.655,16603536.974,1261394,1287042,2477214,2604166,4232929,4308616
Track Field,PN,Bovespa,Ação,ativo,TFCO4,NA,NA,NA,NA,12.541689612,12.710008862,10.464946107,NA,NA,NA,2058765.0329,2069945.293,1677039.0105,91216,100621,12692,201642,267807,328328
Tran Paulist,ON,Bovespa,Ação,ativo,TRPL3,8.8949237508,9.3370519484,13.157225963,22.264245104,25.275429235,29.544494727,28.95,10495564.819,11376686.257,16151797.4,18720768.792,17639881.455,16689045.497,10984717,11068647,11794319,13754283,14399206,16177452
Tran Paulist,PN,Bovespa,Ação,ativo,TRPL4,9.3465904217,10.113098739,12.525665979,17.43826983,23.010140651,23.218409077,23,10495564.819,11376686.257,16151797.4,18720768.792,17639881.455,16689045.497,10984717,11068647,11794319,13754283,14399206,16177452
Trevisa,ON,Bovespa,Ação,ativo,LUXM3,NA,NA,NA,NA,NA,NA,NA,NA,93528,135096,332492.04,426020.04,426020.04,101138,105113,101327,94257,97554,106327
Trevisa,PN,Bovespa,Ação,ativo,LUXM4,NA,NA,14.239739078,22.349536471,61.952177374,81.312178362,81.99,NA,93528,135096,332492.04,426020.04,426020.04,101138,105113,101327,94257,97554,106327
Trisul,ON,Bovespa,Ação,ativo,TRIS3,1.1685979673,1.730892624,3.576968521,13.731781823,11.295149085,5.6216371332,3.44,298741.78,599083.8,2855255.4,2278720.5,1083572.35,626468.72,521971,560761,1045075,1161046,1221105,1261562
Triunfo Part,ON,Bovespa,Ação,ativo,TPIS3,2.8603446249,3.031784839,1.5259357396,1.6530970512,2.2791219701,2.0848842059,0.9,582983.52,270670.92,293226.83,404271.31,366099.77,156156.3,1205340,884119,715528,897729,905038,911429
Tupy,ON,Bovespa,Ação,ativo,TUPY3,9.5310697503,15.571212064,18.314349577,24.385671378,20.212155288,19.63396689,27.123237557,2631248.5,2904904.6,3647703.4,3022888.41,2876351.1,3910004.5565,1983318,2199963,2387403,2553457,2752544,3039843
Ultrapar,ON,Bovespa,Ação,ativo,UGPA3,28.752750374,32.317164618,23.506470656,23.085122737,21.781647645,13.830954335,12.51802334,40752280.5,28888395.18,27672041.699,25882916.882,15868247.756,13810453.387,9381261,9448105,9458255,9533746,10066921,11708741
Unicasa,ON,Bovespa,Ação,ativo,UCAS3,1.98650363,1.98650363,2.2133091626,4.0108827652,3.8060456194,3.9436111498,2.54,167859.36456,187024.41012,333736.1382,280867.047,278223.59244,167859.36456,167872,171266,160042,155948,167781,188732
Unifique,ON,Bovespa,Ação,ativo,FIQE3,NA,NA,NA,NA,NA,6.337243801,3.8007211379,NA,NA,NA,NA,2371593.8994,1376893.4751,NA,48699,71824,117479,959014,997274
Unipar,ON,Bovespa,Ação,ativo,UNIP3,2.4021411715,7.7407871325,20.41200836,22.891093434,32.321067294,79.513992754,79.803894766,1302013.3277,3244246.4975,3519295.3036,4751034.2872,9743957.8501,8907029.8178,990925,1347520,1473053,1725007,2288743,2317404
Unipar,PNA,Bovespa,Ação,ativo,UNIP5,2.3517899135,7.3586682849,19.822080795,22.369978955,31.872622066,79.306122158,91.444340545,1302013.3277,3244246.4975,3519295.3036,4751034.2872,9743957.8501,8907029.8178,990925,1347520,1473053,1725007,2288743,2317404
Unipar,PNB,Bovespa,Ação,ativo,UNIP6,1.8961945114,7.1671301543,19.591552522,22.313105337,33.306185721,79.2279849,85.550110758,1302013.3277,3244246.4975,3519295.3036,4751034.2872,9743957.8501,8907029.8178,990925,1347520,1473053,1725007,2288743,2317404
Uptick,ON,Bovespa,Ação,ativo,UPKP3B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79114,82120,92249,105050,116254,108202
Usiminas,ON,Bovespa,Ação,ativo,USIM3,7.1145797929,9.3281960238,9.886853416,8.638718315,13.843591956,13.777539565,7.41,12392219.911,12894230.616,11946382.134,18736848.464,18204546.614,8989636.7318,13774795,14266298,14043423,14867466,21749335,23155025
Usiminas,PNA,Bovespa,Ação,ativo,USIM5,3.4840427707,7.732875418,7.8691942188,8.2547128436,12.799608527,14.38332346,7.16,12392219.911,12894230.616,11946382.134,18736848.464,18204546.614,8989636.7318,13774795,14266298,14043423,14867466,21749335,23155025
Usiminas,PNB,Bovespa,Ação,ativo,USIM6,NA,7.9847122904,NA,8.4734260787,10.458041367,18.140451961,13.48,12392219.911,12894230.616,11946382.134,18736848.464,18204546.614,8989636.7318,13774795,14266298,14043423,14867466,21749335,23155025
